Community,hour,avg_per_hour
AL THANYAH FIFTH,15,0.25139664804469275
AL THANYAH FIFTH,16,0.15083798882681565
AL THANYAH FIFTH,17,0.1564245810055866
AL THANYAH FIFTH,18,0.1787709497206704
AL THANYAH FIFTH,19,0.10614525139664804
AL THANYAH FIFTH,20,0.16201117318435754
AL THANYAH FIFTH,21,0.07262569832402235
AL THANYAH FIFTH,22,0.09497206703910614
AL THANYAH FIFTH,23,0.061452513966480445
AL THANYAH FIRST,0,0.057971014492753624
AL THANYAH FIRST,1,0.057971014492753624
AL THANYAH FIRST,2,0.043478260869565216
AL THANYAH FIRST,3,0.021739130434782608
AL THANYAH FIRST,4,0.028985507246376812
AL THANYAH FIRST,5,0.007246376811594203
AL THANYAH FIRST,6,0.028985507246376812
AL THANYAH FIRST,7,0.036231884057971016
AL THANYAH FIRST,8,0.050724637681159424
AL THANYAH FIRST,9,0.14492753623188406
AL THANYAH FIRST,10,0.10144927536231885
AL THANYAH FIRST,11,0.15217391304347827
AL THANYAH FIRST,12,0.10144927536231885
AL THANYAH FIRST,13,0.12318840579710146
AL THANYAH FIRST,14,0.10869565217391304
AL THANYAH FIRST,15,0.12318840579710146
AL THANYAH FIRST,16,0.10869565217391304
AL THANYAH FIRST,17,0.10144927536231885
AL THANYAH FIRST,18,0.13043478260869565
AL THANYAH FIRST,19,0.13043478260869565
AL THANYAH FIRST,20,0.09420289855072464
AL THANYAH FIRST,21,0.07971014492753623
AL THANYAH FIRST,22,0.07246376811594203
AL THANYAH FIRST,23,0.057971014492753624
AL THANYAH SECOND,0,0.02040816326530612
AL THANYAH SECOND,1,0.04081632653061224
AL THANYAH SECOND,2,0.01020408163265306
AL THANYAH SECOND,3,0.02040816326530612
AL THANYAH SECOND,5,0.02040816326530612
AL THANYAH SECOND,6,0.02040816326530612
AL THANYAH SECOND,7,0.02040816326530612
AL THANYAH SECOND,8,0.04081632653061224
AL THANYAH SECOND,9,0.061224489795918366
AL THANYAH SECOND,10,0.05102040816326531
AL THANYAH SECOND,11,0.09183673469387756
AL THANYAH SECOND,12,0.08163265306122448
AL THANYAH SECOND,13,0.1326530612244898
AL THANYAH SECOND,14,0.07142857142857142
AL THANYAH SECOND,15,0.1326530612244898
AL THANYAH SECOND,16,0.07142857142857142
AL THANYAH SECOND,17,0.08163265306122448
AL THANYAH SECOND,18,0.07142857142857142
AL THANYAH SECOND,19,0.1326530612244898
AL THANYAH SECOND,20,0.14285714285714285
AL THANYAH SECOND,21,0.09183673469387756
AL THANYAH SECOND,22,0.05102040816326531
AL THANYAH SECOND,23,0.05102040816326531
AL THANYAH THIRD,0,0.034482758620689655
AL THANYAH THIRD,1,0.02586206896551724
AL THANYAH THIRD,2,0.02586206896551724
AL THANYAH THIRD,3,0.008620689655172414
AL THANYAH THIRD,4,0.02586206896551724
AL THANYAH THIRD,5,0.017241379310344827
AL THANYAH THIRD,7,0.034482758620689655
AL THANYAH THIRD,8,0.04310344827586207
AL THANYAH THIRD,9,0.11206896551724138
AL THANYAH THIRD,10,0.10344827586206896
AL THANYAH THIRD,11,0.15517241379310345
AL THANYAH THIRD,12,0.10344827586206896
AL THANYAH THIRD,13,0.13793103448275862
AL THANYAH THIRD,14,0.08620689655172414
AL THANYAH THIRD,15,0.10344827586206896
AL THANYAH THIRD,16,0.11206896551724138
AL THANYAH THIRD,17,0.11206896551724138
AL THANYAH THIRD,18,0.07758620689655173
AL THANYAH THIRD,19,0.0603448275862069
AL THANYAH THIRD,20,0.0603448275862069
AL THANYAH THIRD,21,0.0603448275862069
AL THANYAH THIRD,22,0.04310344827586207
AL THANYAH THIRD,23,0.02586206896551724
AL TTAY,4,0.02702702702702703
AL TTAY,6,0.02702702702702703
AL TTAY,7,0.02702702702702703
AL TTAY,9,0.05405405405405406
AL TTAY,10,0.10810810810810811
AL TTAY,11,0.16216216216216217
AL TTAY,12,0.08108108108108109
AL TTAY,13,0.08108108108108109
AL TTAY,14,0.10810810810810811
AL TTAY,15,0.08108108108108109
AL TTAY,16,0.02702702702702703
AL TTAY,17,0.05405405405405406
AL TTAY,18,0.08108108108108109
AL TTAY,19,0.05405405405405406
AL TTAY,20,0.08108108108108109
AL TTAY,21,0.08108108108108109
AL TTAY,23,0.02702702702702703
AL TWAR FIRST,0,0.06622516556291391
AL TWAR FIRST,1,0.033112582781456956
AL TWAR FIRST,2,0.019867549668874173
AL TWAR FIRST,3,0.039735099337748346
AL TWAR FIRST,4,0.013245033112582781
AL TWAR FIRST,5,0.033112582781456956
AL TWAR FIRST,6,0.033112582781456956
AL TWAR FIRST,7,0.07947019867549669
AL TWAR FIRST,8,0.0728476821192053
AL TWAR FIRST,9,0.13245033112582782
AL TWAR FIRST,10,0.18543046357615894
AL TWAR FIRST,11,0.19205298013245034
AL TWAR FIRST,12,0.19205298013245034
AL TWAR FIRST,13,0.13245033112582782
AL TWAR FIRST,14,0.11920529801324503
AL TWAR FIRST,15,0.13245033112582782
AL TWAR FIRST,16,0.09933774834437085
AL TWAR FIRST,17,0.10596026490066225
AL TWAR FIRST,18,0.09271523178807947
AL TWAR FIRST,19,0.10596026490066225
AL TWAR FIRST,20,0.09933774834437085
AL TWAR FIRST,21,0.06622516556291391
AL TWAR FIRST,22,0.07947019867549669
AL TWAR FIRST,23,0.033112582781456956
AL TWAR SECOND,0,0.042105263157894736
AL TWAR SECOND,1,0.042105263157894736
AL TWAR SECOND,2,0.010526315789473684
AL TWAR SECOND,3,0.010526315789473684
AL TWAR SECOND,5,0.010526315789473684
AL TWAR SECOND,6,0.05263157894736842
AL TWAR SECOND,7,0.09473684210526316
AL TWAR SECOND,8,0.06315789473684211
