Community,week_index,week_start,Accident_Count
AL CORNICHE,14,2024-06-05,2
AL CORNICHE,15,2024-06-12,2
AL CORNICHE,16,2024-06-19,4
AL CORNICHE,17,2024-06-26,3
AL CORNICHE,18,2024-07-03,1
AL CORNICHE,19,2024-07-10,1
AL CORNICHE,20,2024-07-17,3
AL CORNICHE,21,2024-07-24,3
AL CORNICHE,22,2024-07-31,1
AL CORNICHE,23,2024-08-07,2
AL CORNICHE,24,2024-08-14,5
AL CORNICHE,25,2024-08-21,5
AL CORNICHE,26,2024-08-28,3
AL CORNICHE,27,2024-09-04,0
AL CORNICHE,28,2024-09-11,2
AL CORNICHE,29,2024-09-18,4
AL CORNICHE,30,2024-09-25,1
AL DAGHAYA,1,2024-03-06,0
AL DAGHAYA,2,2024-03-13,1
AL DAGHAYA,3,2024-03-20,4
AL DAGHAYA,4,2024-03-27,2
AL DAGHAYA,5,2024-04-03,0
AL DAGHAYA,6,2024-04-10,0
AL DAGHAYA,7,2024-04-17,0
AL DAGHAYA,8,2024-04-24,0
AL DAGHAYA,9,2024-05-01,0
AL DAGHAYA,10,2024-05-08,0
AL DAGHAYA,11,2024-05-15,0
AL DAGHAYA,12,2024-05-22,0
AL DAGHAYA,13,2024-05-29,0
AL DAGHAYA,14,2024-06-05,0
AL DAGHAYA,15,2024-06-12,0
AL DAGHAYA,16,2024-06-19,1
AL DAGHAYA,17,2024-06-26,1
AL DAGHAYA,18,2024-07-03,0
AL DAGHAYA,19,2024-07-10,1
AL DAGHAYA,20,2024-07-17,0
AL DAGHAYA,21,2024-07-24,1
AL DAGHAYA,22,2024-07-31,0
AL DAGHAYA,23,2024-08-07,0
AL DAGHAYA,24,2024-08-14,1
AL DAGHAYA,25,2024-08-21,6
AL DAGHAYA,26,2024-08-28,3
AL DAGHAYA,27,2024-09-04,0
AL DAGHAYA,28,2024-09-11,2
AL DAGHAYA,29,2024-09-18,0
AL DAGHAYA,30,2024-09-25,0
AL FAGAA,1,2024-03-06,2
AL FAGAA,2,2024-03-13,4
AL FAGAA,3,2024-03-20,4
AL FAGAA,4,2024-03-27,3
AL FAGAA,5,2024-04-03,1
AL FAGAA,6,2024-04-10,2
AL FAGAA,7,2024-04-17,0
AL FAGAA,8,2024-04-24,0
AL FAGAA,9,2024-05-01,0
AL FAGAA,10,2024-05-08,0
AL FAGAA,11,2024-05-15,0
AL FAGAA,12,2024-05-22,0
AL FAGAA,13,2024-05-29,0
AL FAGAA,14,2024-06-05,1
AL FAGAA,15,2024-06-12,1
AL FAGAA,16,2024-06-19,0
AL FAGAA,17,2024-06-26,1
AL FAGAA,18,2024-07-03,0
AL FAGAA,19,2024-07-10,0
AL FAGAA,20,2024-07-17,2
AL FAGAA,21,2024-07-24,0
AL FAGAA,22,2024-07-31,3
AL FAGAA,23,2024-08-07,0
AL FAGAA,24,2024-08-14,0
AL FAGAA,25,2024-08-21,1
AL FAGAA,26,2024-08-28,0
AL FAGAA,27,2024-09-04,0
AL FAGAA,28,2024-09-11,0
AL FAGAA,29,2024-09-18,1
AL FAGAA,30,2024-09-25,0
AL GARHOUD,1,2024-03-06,39
AL GARHOUD,2,2024-03-13,25
AL GARHOUD,3,2024-03-20,8
AL GARHOUD,4,2024-03-27,16
AL GARHOUD,5,2024-04-03,19
AL GARHOUD,6,2024-04-10,30
AL GARHOUD,7,2024-04-17,5
AL GARHOUD,8,2024-04-24,0
AL GARHOUD,9,2024-05-01,0
AL GARHOUD,10,2024-05-08,0
AL GARHOUD,11,2024-05-15,0
AL GARHOUD,12,2024-05-22,0
AL GARHOUD,13,2024-05-29,0
AL GARHOUD,14,2024-06-05,5
AL GARHOUD,15,2024-06-12,24
AL GARHOUD,16,2024-06-19,24
AL GARHOUD,17,2024-06-26,26
AL GARHOUD,18,2024-07-03,27
AL GARHOUD,19,2024-07-10,25
AL GARHOUD,20,2024-07-17,17
AL GARHOUD,21,2024-07-24,21
AL GARHOUD,22,2024-07-31,29
AL GARHOUD,23,2024-08-07,31
